Date,Dataset,Social Unit,Gesture_sgn,GO_Goal,FunctionalContext,Signaller,Recipient,Distance_rcp,Sgn_sex,Rcp_sex,Sgn_age,Rcp_age
10/05/2017,GO,Waibira,Sgn,Aff,Approach,NEV,A_M,u_3,F,M,33,NA
03/05/2017,GO,Waibira,Sgn,Unk,Approach,KET,ALF,1_1.5,F,M,19,19
29/01/2020,GO,Waibira,Sgn,Aff,Aff_unc,BRI,BAH,u_0.5,M,F,5,26
13/01/2019,GO,Waibira,Sgn,Aff,Co_feed,LOT,BEN,0_0.5,F,M,35,27
13/01/2019,GO,Waibira,Sgn,Aff,Co_feed,LOT,TAL,0_0.5,F,M,35,27
30/01/2020,GO,Waibira,Sgn,Aff,Groom,ALF,BEN,u_0.5,M,M,22,28
07/02/2017,GO,Waibira,Sgn,Unk,Co_feed,KET,MAC,u_3,F,M,19,21
13/01/2020,GO,Waibira,Sgn,Aff,Approach,KET,MAC,0_0.5,F,M,22,24
31/12/2019,GO,Waibira,Sgn,Gv_objfd,Co_feed,KEV,TAL,1_1.5,M,M,38,43
07/07/2012,GO,Sonso,Sgn,Aff,Unk,KL,HW,0.5_1,F,M,33,19
17/10/2008,GO,Sonso,Sgn,Stay_same,Approach,PS,KT,0.5_1,M,M,10,15
16/06/2009,GO,Sonso,Sgn,Stay_same,Aff_unk,HW,NK,0.5_1,M,M,16,27
31/01/2011,GO,Sonso,Sgn,Stay_same,Approach,PS,NK,0_0.5,M,M,13,29
25/07/2011,GO,Sonso,Sgn,Stay_same,Approach,SM,NK,0_0.5,M,M,18,29
16/07/2011,GO,Sonso,Sgn,Grm,Approach,KT,NK,0.5_1,M,M,18,29
02/08/2011,GO,Sonso,Sgn,Socio_sex_att,Approach,JL,NK,0_0.5,F,M,21,29
02/08/2011,GO,Sonso,Sgn,Socio_sex_att,Aff_unc,JL,NK,0_0.5,F,M,21,29
02/08/2011,GO,Sonso,Sgn,Grm,Groom,KT,NK,No_0,M,M,18,29
02/08/2011,GO,Sonso,Sgn,Grm,Groom,KT,NK,No_0,M,M,18,29
27/06/2012,GO,Sonso,Sgn,Socio_sex_att,Approach,KU,NK,0.5_1,F,M,33,30
21/07/2012,GO,Sonso,Sgn,Aff,Aff_unc,JL,NK,0.5_1,F,M,22,30
13/07/2011,GO,Sonso,Sgn,Stay_same,Approach,ZG,PS,0_0.5,M,M,14,13
28/08/2008,GO,Sonso,Sgn,Stay_same,Approach,ZL,ZF,0_0.5,M,M,13,26
07/02/2011,GO,Sonso,Sgn,Socio_sex_att,Approach,KZ,ZF,0_0.5,M,M,16,29
25/07/2011,GO,Sonso,Sgn,Trv,Approach,SQ,ZF,u_0.5,M,M,20,29
05/07/2011,GO,Sonso,Sgn,Sex_att,Approach,KU,ZL,0.5_1,F,M,32,16
30/01/2011,GO,Sonso,Sgn,Aff,Aff_unk,ZK,ZM,Unk,M,F,9,43
09/12/2019,GO,Waibira,Rcp,Grm,Groom,ALF,BEN,2_3,M,M,21,27
09/12/2019,GO,Waibira,Rcp,Dir_att,Groom,ALF,BEN,No_0,M,M,21,27
24/06/2008,GO,Sonso,Rcp,Pl_st,Unk,FK,PS,o_3,M,M,9,10
05/07/2011,GO,Sonso,Rcp,Aff,Approach,HT,PS,0_0.5,F,M,33,13
22/01/2011,GO,Sonso,Rcp,Grm,Groom,HW,NK,u_0.5,M,M,18,29
22/01/2011,GO,Sonso,Rcp,Grm,Groom,HW,NK,0.5_1,M,M,18,29
22/01/2011,GO,Sonso,Rcp,Grm,Groom,HW,NK,No_0,M,M,18,29
18/01/2011,GO,Sonso,Rcp,Trv,Aff_unc,KL,SQ,o_3,F,M,32,20
02/08/2011,GO,Sonso,Rcp,Move_close,Groom,KT,NK,0.5_1,M,M,18,29
21/07/2012,GO,Sonso,Rcp,Move_close,Approach,KW,NK,Unk,F,M,31,30
05/01/2008,GO,Sonso,Rcp,Fw_sgn,Approach,LL,DN,u_3,F,M,20,42
22/08/2011,GO,Sonso,Rcp,Position,Groom,NB,NK,No_0,F,M,49,29
24/06/2008,GO,Sonso,Rcp,Pl_st,Play,PS,FK,0.5_1,M,M,10,9
30/06/2011,GO,Sonso,Rcp,Aff,Aff_unc,RS,HW,1_1.5,F,M,14,18
04/04/2017,GAD,Waibira,NV,NV,Aff_unk,LAF,MAC,0.5_1,M,M,14,21
04/04/2017,GAD,Waibira,NV,NV,Approach,DAU,GER,0.5_1,M,M,13,24
27/04/2017,GAD,Waibira,NV,NV,Approach,MUG,TRS,0.5_1,M,M,14,34
27/04/2017,GAD,Waibira,NV,NV,Approach,MUG,SAM,0.5_1,M,M,14,18
10/05/2017,GAD,Waibira,NV,NV,Approach,KET,URS,0.5_1,F,M,19,35
22/01/2011,GAD,Sonso,NV,NV,Groom,HW,NK,No_0,M,M,18,29
22/01/2011,GAD,Sonso,NV,NV,Groom,HW,NK,No_0,M,M,18,29
13/02/2011,GAD,Sonso,NV,NV,Co_feed,RE,NK,0_0.5,F,M,14,29
30/06/2011,GAD,Sonso,NV,NV,Approach,KL,NK,>5,F,M,32,29
30/06/2011,GAD,Sonso,NV,NV,Approach,RS,NK,>5,F,M,14,29
16/07/2011,GAD,Sonso,NV,NV,Approach,MS,NK,>5,M,M,19,29
16/07/2011,GAD,Sonso,NV,NV,Approach,ZL,MS,>5,M,M,16,19
02/08/2011,GAD,Sonso,NV,NV,Approach,KT,NK,3_5,M,M,18,29
22/08/2011,GAD,Sonso,NV,NV,Approach,MS,NK,3_5,M,M,19,29
22/08/2011,GAD,Sonso,NV,NV,Approach,MS,ZK,>5,M,M,19,9
07/07/2012,GAD,Sonso,NV,NV,Approach,KL,HW,1_1.5,F,M,33,19
07/07/2012,GAD,Sonso,NV,NV,Approach,KL,FK,>5,F,M,33,13
07/07/2012,GAD,Sonso,NV,NV,Approach,MS,NK,>5,M,M,20,30
14/07/2012,GAD,Sonso,NV,NV,Groom,OK,KZ,No_0,F,M,16,17
14/07/2012,GAD,Sonso,NV,NV,Aff_unc,ZD,OK,0_0.5,M,F,11,16
18/07/2012,GAD,Sonso,NV,NV,Groom,KW,Unk,0_0.5,F,M,31,unk
21/07/2012,GAD,Sonso,NV,NV,Groom,FK,NK,0_0.5,M,M,13,30
21/07/2012,GAD,Sonso,NV,NV,Groom,ML,NK,1_1.5,F,M,37,30
02/08/2012,GAD,Sonso,NV,NV,Play,KC,NT,0_0.5,M,F,6,9
08/02/2022,GAD,Waibira,NV,NV,Groom,ALF,GER,No_0,M,M,24,29
08/02/2022,GAD,Waibira,NV,NV,Groom,ALF,GER,No_0,M,M,24,29
17/03/2022,GAD,Waibira,NV,NV,Aff_unk,URS,ARD,0_0.5,M,M,40,17
17/03/2022,GAD,Waibira,NV,NV,Aff_unk,ARD,URS,0_0.5,M,M,17,
02/05/2018,Leroux,Sonso,NV,NV,Unk,MS,Unk,NV,M,UNK,26,UNK
02/05/2018,Leroux,Sonso,NV,NV,Unk,Unk,Unk,NV,UNK,UNK,UNK,UNK
27/06/2018,Leroux,Sonso,NV,NV,Unk,ML,Unk,NV,F,UNK,43,UNK
02/07/2018,Leroux,Sonso,NV,NV,Unk,NB,Musa/pascal?,NV,F,M,56,UNK
04/07/2018,Leroux,Sonso,NV,NV,Unk,NB,Unk,NV,F,UNK,56,UNK
04/07/2018,Leroux,Sonso,NV,NV,Aff_unk,KY,Unk,NV,F,UNK,35,UNK
04/07/2018,Leroux,Sonso,NV,NV,Unk,unk,Unk,NV,UNK,UNK,UNK,UNK
04/07/2018,Leroux,Sonso,NV,NV,Unk,unk,Unk,NV,UNK,UNK,UNK,UNK
06/07/2018,Leroux,Sonso,NV,NV,Unk,unk,Unk,NV,UNK,UNK,UNK,UNK
06/07/2018,Leroux,Sonso,NV,NV,Unk,ZD,Kato?,NV,M,UNK,17,UNK
22/07/2018,Leroux,Sonso,NV,NV,Unk,UP,SM,NV,F,M,19,25
25/07/2018,Leroux,Sonso,NV,NV,Unk,EV,KA,NV,F,F,14,20
25/07/2018,Leroux,Sonso,NV,NV,Unk,EV,KA,NV,F,F,14,20
19/02/2019,Leroux,Sonso,NV,NV,Unk,ZF,Pascal?,NV,M,UNK,37,UNK
19/02/2019,Leroux,Sonso,NV,NV,Aff_unk,UP,Zefa?,NV,F,UNK,20,UNK
19/02/2019,Leroux,Sonso,NV,NV,Approach,unknown,Zefa?,NV,UNK,UNK,UNK,UNK
20/02/2019,Leroux,Sonso,NV,NV,Aff_unk,NB,FK,NV,F,M,57,20
21/02/2019,Leroux,Sonso,NV,NV,Aff_unk,RS,FK,NV,F,M,22,20
23/02/2019,Leroux,Sonso,NV,NV,Approach,JS,SQ?,NV,M,UNK,13,UNK
23/02/2019,Leroux,Sonso,NV,NV,Aff_unk,PS,Unk,NV,M,UNK,21,UNK
23/02/2019,Leroux,Sonso,NV,NV,Approach,DL,MS,NV,F,M,17,27
